,reviews
0,"
For 25$ you get the performance of AirPods and they don’t look like a cheap knockoff, they look slick not bulky at all.
"
1,"
I don't normally do reviews of items, but I felt like giving my honest opinions on these.they are close in size to the Galexy buds by Samsung (yes- i misspelled galexy in the picture, please bear with me- I was sleepy.)but the shape mimics apples airpods. (sort of.)from the picture you can tell they have a flat back to them, and are a bit longer than standard airpods, though neither of these details bother me- as I bought these for their budget friendly pricing, and that niche desire for black airpods without paying a fortune for custom painting or trying my hand at doing it myself.the earbuds themselves are a glossy black- while the case is a matte black plastic, the lid lip is a bit difficult to open, but not enough to be noticable, and the bump in the middle is a pairing button used to hold down- where an LED will let you know by flashing white, that it is in pairing mode.However, I would say the main detail I feel is important to highlight here though, is the sound quality.now- its nothing special. The highs and mids are acceptable, they sound very open but not 'tinny', the bass is, well- there isn't very much bass sadly, and when your volume is all the way up, you can hear audio leaking from them, but overall- for the price, i would say they are worth it.now I haven't seen just how long these can run for, but as far as I can tell, they should be fine for extended periods of listening to music, and I've done my best to Not get them wet. I wouldn't try to use them in the shower, but maybe that is just me being a bit too cautious.my only gripe- is the lack of options to customize the imput for the devices.There is not an interface to change the tap input, so if that is somehow a deal breaker for you- there are other, albeit probably more expensive, options out there for you to try.I would recommend these to people looking to save their money, to listen to music while studying, to android users as I don't know how well they play with apple, and to people who want a plug and play experience.Hope this helps anyone looking for details in the future.
"
2,"
I've bought 3 pairs of these now. Each one broke after about 5 months. At first I thought it was a one-off, but now I realize it's a pattern. I bought these as inexpensive earbuds for the gym since I didn't want to ruin my airpods. But at this point, it'll be more cost-effective in the long-run to buy a separate set of airpods to use at the gym. Wanted to love these, but can't justify the poor quality.
"
3,"
Came back to double-check if they were waterproof (apparently they are, I will make sure to personally check that in a bit) and just decided to write a review since I'm already here.These earbuds aren't bad, life lasts a while although I have started to notice their battery expectancy is slowly decreasing but eh, I'm not going to die.A con I didn't really notice until having them is not being able to tell their battery percentage. Tad annoying, but I'll live.Oh! When they are dying and you hear the lady speaking, it barely gives you more than a minute or so to actually do something. They tend to shut down very fast after that.Hope this helps, even if a bit. Have a good day!
"
4,"
Updated Post: I received a replacement that came with additional instructions aside from the booklet instructions that comes with the earbuds. I was able to connect these earbuds with no issue after following the instructions from the piece of paper that was included. These instructions are a little different from the booklet instructions. I concluded that I did not remove the film from the initial earbuds that was sent. I do not recall the booklet instructions mentioning this. So if you’re having pairing issues please remove the film before trying to pair. I will include a picture of the instructions that was included with the replacement earbuds that was sent.Original Post: Tried pairing these earbuds with five different  devices(4 phones & 1 Android), but neither picked up this device. I wanted these to work so bad even after reading reviews of issues with pairing. This was such a disappointment.  I ordered a replacement, because I like the look of these(reason for the additional star) and also because the cost of earbuds have gone back to its original price since Black Friday weekend/Cyber Monday have passed. Hopefully they test the replacement before shipping it to me.
"
5,"
Even with pack on a full charge, the buds die fast and don’t always turnoff when prompted
"
6,"
I wanted to wait before leaving a review. I've had these ear buds for a little over a month. Had to play around with them for about 10 minutes to get them to connect to my cheap android phone.They sound really good and have good bass, no complaints there.Despite being the hard plastic, they are still comfortable (my ears are on the smaller side).I use them nearly every day (for about 2 hrs average) and only need to charge about once a week . Charging the case takes a couple hours. After that, simply returning the buds to the case will charge them.I noticed after a few weeks that your phone will tell you the buds battery percentage of you pull down the drop down menu and look at your Bluetooth icon. I think that's helpful .The only issue I've had is with them not connecting right away when taking them out the case. But maybe the battery was low at that moment, not sure.In conclusion, I am happy with my purchase. I searched for so long before buying these.
"
7,"
Full disclosure these are my only BT ear buds so I have nothing to compare them to. They work well for my purposes. Phone calls are clear and people seem to hear me fine. Watching TV and movies on my phone sounds ok. The sound quality when listening to music is not that great. The range is terrible but for the money it does the job and I got used to it. The music is clear but flat no low range. Rock sounds ok but anything with bass sounds funny to me. But like I said for the money they work great. I mostly listen to podcast so no issues. Charging is quick when they run low. They seem to last 4-5 hours between charges depending on what ur doing. Range to me is just ok. I thought New BT range was supposed to be longer. I’d guess I get less than 30ft maybe 20ft. I gave 4 stars because for the cost these are a good deal. If the sound quality for music was a little better I’d give 5 stars.
"
8,"
So these are pretty cheap, and if you are like me, you go to the reviews to see if the product is good or not. And let me just say that these earbuds are perfectly priced. They have the feel of air pods (I'll let you decide if that's good or not) and have the sound quality of an average pair of earbuds. The noise cancelation isn't amazing, but these earbuds can get pretty loud so even if you are mowing the lawn you can still listen to your music with little to no problem. The battery life on mine is insane as well. I  bought them last march or so and at the time of writing this ad, I have used them almost everyday...and charged them like a total of 4 times. So for the low price of these, I really don't think they can be beat. Also, I recently was wearing them while washing dishes at work and the right earbud fell into a sink full of water, fully submerged, and yet when I pulled it out it was still playing music like nothing ever happened. 100% would recommend if you need a cheap pair of burner earbuds.
"
9,"
I normally never do reviews, but dude, I have tried so many wireless earbuds and somehow they don’t work  something. Actually just bought different ones at a store 2 weeks ago mad I can’t find receipt to return them. Finally I see these, the sound is great! They fit perfectly, not going in and out like the others. Perfect size just love them, and I like that I can change the songs without my phone just touch the side 2 seconds and it changes the song and works to go to the previous song as well. My only complaint and it’s not even bad. I’m used to be able to see if my ear phones are dying from the case with the blinking light on the outside of the case. This one is on the inside so I have to open the case to see if it’s charged. (Just got them in the mail today so maybe I can leave the case open?, the manual didn’t say) but yes, these are worth the buy! Unfortunately I can’t say about the battery life just yet but I can give an update when I find out.
"
